,model,step,example_id,pass1,benchmark_id,model_pref,correct,count,step_group_end
23,cwm-baseline-10,10,pydata__xarray-4075,1.0,swebench-verified,cwm-baseline,1,1,
24,cwm-baseline-10,10,sympy__sympy-19637,1.0,swebench-verified,cwm-baseline,1,1,
25,cwm-baseline-10,10,sympy__sympy-15599,0.0,swebench-verified,cwm-baseline,0,1,
26,cwm-baseline-10,10,django__django-14311,0.0,swebench-verified,cwm-baseline,0,1,
27,cwm-baseline-10,10,pytest-dev__pytest-5809,1.0,swebench-verified,cwm-baseline,1,1,
28,cwm-baseline-10,10,django__django-16100,1.0,swebench-verified,cwm-baseline,1,1,
29,cwm-baseline-10,10,pytest-dev__pytest-5262,1.0,swebench-verified,cwm-baseline,1,1,
30,cwm-baseline-10,10,sympy__sympy-23824,1.0,swebench-verified,cwm-baseline,1,1,
31,cwm-baseline-10,10,django__django-14376,0.0,swebench-verified,cwm-baseline,0,1,
32,cwm-baseline-10,10,astropy__astropy-14508,0.0,swebench-verified,cwm-baseline,0,1,
33,cwm-baseline-10,10,matplotlib__matplotlib-23314,0.0,swebench-verified,cwm-baseline,0,1,
34,cwm-baseline-10,10,django__django-14672,1.0,swebench-verified,cwm-baseline,1,1,
35,cwm-baseline-10,10,psf__requests-6028,0.0,swebench-verified,cwm-baseline,0,1,
36,cwm-baseline-10,10,django__django-15561,1.0,swebench-verified,cwm-baseline,1,1,
37,cwm-baseline-10,10,django__django-14155,0.0,swebench-verified,cwm-baseline,0,1,
38,cwm-baseline-10,10,sympy__sympy-18189,1.0,swebench-verified,cwm-baseline,1,1,
39,cwm-baseline-10,10,pylint-dev__pylint-6386,0.0,swebench-verified,cwm-baseline,0,1,
40,cwm-baseline-10,10,django__django-13297,0.0,swebench-verified,cwm-baseline,0,1,
41,cwm-baseline-10,10,django__django-11728,0.0,swebench-verified,cwm-baseline,0,1,
42,cwm-baseline-10,10,django__django-13410,1.0,swebench-verified,cwm-baseline,1,1,
43,cwm-baseline-10,10,django__django-12713,1.0,swebench-verified,cwm-baseline,1,1,
44,cwm-baseline-10,10,sphinx-doc__sphinx-10673,1.0,swebench-verified,cwm-baseline,1,1,
45,cwm-baseline-10,10,scikit-learn__scikit-learn-14087,0.0,swebench-verified,cwm-baseline,0,1,
46,cwm-baseline-10,10,django__django-16429,1.0,swebench-verified,cwm-baseline,1,1,
47,cwm-baseline-10,10,django__django-12419,1.0,swebench-verified,cwm-baseline,1,1,
48,cwm-baseline-10,10,sympy__sympy-21612,0.0,swebench-verified,cwm-baseline,0,1,
49,cwm-baseline-10,10,sympy__sympy-16597,0.0,swebench-verified,cwm-baseline,0,1,
50,cwm-baseline-10,10,scikit-learn__scikit-learn-25102,0.0,swebench-verified,cwm-baseline,0,1,
51,cwm-baseline-10,10,pytest-dev__pytest-7982,1.0,swebench-verified,cwm-baseline,1,1,
52,cwm-baseline-10,10,django__django-16877,0.0,swebench-verified,cwm-baseline,0,1,
53,cwm-baseline-10,10,scikit-learn__scikit-learn-10844,1.0,swebench-verified,cwm-baseline,1,1,
54,cwm-baseline-10,10,django__django-11999,1.0,swebench-verified,cwm-baseline,1,1,
55,cwm-baseline-10,10,django__django-15315,1.0,swebench-verified,cwm-baseline,1,1,
56,cwm-baseline-10,10,django__django-11066,1.0,swebench-verified,cwm-baseline,1,1,
57,cwm-baseline-10,10,scikit-learn__scikit-learn-14629,0.0,swebench-verified,cwm-baseline,0,1,
58,cwm-baseline-10,10,django__django-14534,0.0,swebench-verified,cwm-baseline,0,1,
59,cwm-baseline-10,10,django__django-11734,0.0,swebench-verified,cwm-baseline,0,1,
60,cwm-baseline-10,10,django__django-15037,0.0,swebench-verified,cwm-baseline,0,1,
61,cwm-baseline-10,10,django__django-14011,0.0,swebench-verified,cwm-baseline,0,1,
62,cwm-baseline-10,10,django__django-11163,1.0,swebench-verified,cwm-baseline,1,1,
63,cwm-baseline-10,10,django__django-14315,0.0,swebench-verified,cwm-baseline,0,1,
64,cwm-baseline-10,10,django__django-13516,0.0,swebench-verified,cwm-baseline,0,1,
65,cwm-baseline-10,10,sphinx-doc__sphinx-8475,1.0,swebench-verified,cwm-baseline,1,1,
66,cwm-baseline-10,10,django__django-10973,1.0,swebench-verified,cwm-baseline,1,1,
67,cwm-baseline-10,10,django__django-14771,0.0,swebench-verified,cwm-baseline,0,1,
68,cwm-baseline-10,10,astropy__astropy-14365,0.0,swebench-verified,cwm-baseline,0,1,
69,cwm-baseline-10,10,django__django-14349,0.0,swebench-verified,cwm-baseline,0,1,
70,cwm-baseline-10,10,sphinx-doc__sphinx-8265,0.0,swebench-verified,cwm-baseline,0,1,
71,cwm-baseline-10,10,django__django-12325,0.0,swebench-verified,cwm-baseline,0,1,
72,cwm-baseline-10,10,django__django-13810,1.0,swebench-verified,cwm-baseline,1,1,
73,cwm-baseline-10,10,pytest-dev__pytest-5631,0.0,swebench-verified,cwm-baseline,0,1,
74,cwm-baseline-10,10,pydata__xarray-3151,1.0,swebench-verified,cwm-baseline,1,1,
75,cwm-baseline-10,10,scikit-learn__scikit-learn-12973,1.0,swebench-verified,cwm-baseline,1,1,
76,cwm-baseline-10,10,psf__requests-1142,0.0,swebench-verified,cwm-baseline,0,1,
77,cwm-baseline-10,10,django__django-16801,1.0,swebench-verified,cwm-baseline,1,1,
78,cwm-baseline-10,10,sympy__sympy-21930,0.0,swebench-verified,cwm-baseline,0,1,
79,cwm-baseline-10,10,django__django-13786,1.0,swebench-verified,cwm-baseline,1,1,
80,cwm-baseline-10,10,pylint-dev__pylint-4661,0.0,swebench-verified,cwm-baseline,0,1,
81,cwm-baseline-10,10,django__django-11095,1.0,swebench-verified,cwm-baseline,1,1,
82,cwm-baseline-10,10,sympy__sympy-11618,1.0,swebench-verified,cwm-baseline,1,1,
83,cwm-baseline-10,10,sympy__sympy-20428,0.0,swebench-verified,cwm-baseline,0,1,
84,cwm-baseline-10,10,django__django-7530,0.0,swebench-verified,cwm-baseline,0,1,
85,cwm-baseline-10,10,sympy__sympy-12096,1.0,swebench-verified,cwm-baseline,1,1,
86,cwm-baseline-10,10,pytest-dev__pytest-7324,0.0,swebench-verified,cwm-baseline,0,1,
87,cwm-baseline-10,10,sympy__sympy-15017,1.0,swebench-verified,cwm-baseline,1,1,
88,cwm-baseline-10,10,pytest-dev__pytest-8399,1.0,swebench-verified,cwm-baseline,1,1,
89,cwm-baseline-10,10,django__django-15268,0.0,swebench-verified,cwm-baseline,0,1,
90,cwm-baseline-10,10,django__django-15731,1.0,swebench-verified,cwm-baseline,1,1,
91,cwm-baseline-10,10,django__django-9296,1.0,swebench-verified,cwm-baseline,1,1,
92,cwm-baseline-10,10,sphinx-doc__sphinx-9673,1.0,swebench-verified,cwm-baseline,1,1,
93,cwm-baseline-10,10,sphinx-doc__sphinx-10466,1.0,swebench-verified,cwm-baseline,1,1,
94,cwm-baseline-10,10,scikit-learn__scikit-learn-15100,1.0,swebench-verified,cwm-baseline,1,1,
95,cwm-baseline-10,10,django__django-16139,1.0,swebench-verified,cwm-baseline,1,1,
96,cwm-baseline-10,10,django__django-16595,1.0,swebench-verified,cwm-baseline,1,1,
97,cwm-baseline-10,10,pytest-dev__pytest-5787,1.0,swebench-verified,cwm-baseline,1,1,
98,cwm-baseline-10,10,sympy__sympy-23534,1.0,swebench-verified,cwm-baseline,1,1,
99,cwm-baseline-10,10,django__django-16899,0.0,swebench-verified,cwm-baseline,0,1,
100,cwm-baseline-10,10,sympy__sympy-16766,1.0,swebench-verified,cwm-baseline,1,1,
101,cwm-baseline-10,10,django__django-16333,1.0,swebench-verified,cwm-baseline,1,1,
102,cwm-baseline-10,10,matplotlib__matplotlib-22719,1.0,swebench-verified,cwm-baseline,1,1,
103,cwm-baseline-10,10,matplotlib__matplotlib-14623,0.0,swebench-verified,cwm-baseline,0,1,
104,cwm-baseline-10,10,scikit-learn__scikit-learn-13142,1.0,swebench-verified,cwm-baseline,1,1,
105,cwm-baseline-10,10,django__django-13741,1.0,swebench-verified,cwm-baseline,1,1,
106,cwm-baseline-10,10,pylint-dev__pylint-4604,0.0,swebench-verified,cwm-baseline,0,1,
107,cwm-baseline-10,10,sympy__sympy-19954,1.0,swebench-verified,cwm-baseline,1,1,
108,cwm-baseline-10,10,django__django-13089,1.0,swebench-verified,cwm-baseline,1,1,
109,cwm-baseline-10,10,scikit-learn__scikit-learn-11578,1.0,swebench-verified,cwm-baseline,1,1,
110,cwm-baseline-10,10,scikit-learn__scikit-learn-12682,0.0,swebench-verified,cwm-baseline,0,1,
111,cwm-baseline-10,10,django__django-15380,1.0,swebench-verified,cwm-baseline,1,1,
112,cwm-baseline-10,10,django__django-16145,0.0,swebench-verified,cwm-baseline,0,1,
113,cwm-baseline-10,10,sympy__sympy-13798,0.0,swebench-verified,cwm-baseline,0,1,
114,cwm-baseline-10,10,sympy__sympy-24539,1.0,swebench-verified,cwm-baseline,1,1,
115,cwm-baseline-10,10,scikit-learn__scikit-learn-10908,0.0,swebench-verified,cwm-baseline,0,1,
116,cwm-baseline-10,10,astropy__astropy-14182,0.0,swebench-verified,cwm-baseline,0,1,
117,cwm-baseline-10,10,django__django-15128,0.0,swebench-verified,cwm-baseline,0,1,
118,cwm-baseline-10,10,django__django-11133,1.0,swebench-verified,cwm-baseline,1,1,
119,cwm-baseline-10,10,scikit-learn__scikit-learn-11310,1.0,swebench-verified,cwm-baseline,1,1,
120,cwm-baseline-10,10,scikit-learn__scikit-learn-13779,1.0,swebench-verified,cwm-baseline,1,1,
121,cwm-baseline-10,10,matplotlib__matplotlib-23412,1.0,swebench-verified,cwm-baseline,1,1,
122,cwm-baseline-10,10,django__django-11964,0.0,swebench-verified,cwm-baseline,0,1,
123,cwm-baseline-10,10,django__django-11820,0.0,swebench-verified,cwm-baseline,0,1,
124,cwm-baseline-10,10,django__django-15987,1.0,swebench-verified,cwm-baseline,1,1,
125,cwm-baseline-10,10,psf__requests-5414,0.0,swebench-verified,cwm-baseline,0,1,
126,cwm-baseline-10,10,scikit-learn__scikit-learn-12585,1.0,swebench-verified,cwm-baseline,1,1,
127,cwm-baseline-10,10,django__django-16493,1.0,swebench-verified,cwm-baseline,1,1,
128,cwm-baseline-10,10,django__django-11099,1.0,swebench-verified,cwm-baseline,1,1,
129,cwm-baseline-10,10,astropy__astropy-7671,1.0,swebench-verified,cwm-baseline,1,1,
130,cwm-baseline-10,10,sympy__sympy-22914,1.0,swebench-verified,cwm-baseline,1,1,
131,cwm-baseline-10,10,sympy__sympy-15976,0.0,swebench-verified,cwm-baseline,0,1,
132,cwm-baseline-10,10,scikit-learn__scikit-learn-25747,0.0,swebench-verified,cwm-baseline,0,1,
133,cwm-baseline-10,10,django__django-13121,0.0,swebench-verified,cwm-baseline,0,1,
134,cwm-baseline-10,10,sympy__sympy-17318,0.0,swebench-verified,cwm-baseline,0,1,
135,cwm-baseline-10,10,sympy__sympy-18199,0.0,swebench-verified,cwm-baseline,0,1,
136,cwm-baseline-10,10,sympy__sympy-13031,0.0,swebench-verified,cwm-baseline,0,1,
137,cwm-baseline-10,10,sympy__sympy-13480,1.0,swebench-verified,cwm-baseline,1,1,
138,cwm-baseline-10,10,django__django-16901,1.0,swebench-verified,cwm-baseline,1,1,
139,cwm-baseline-10,10,django__django-14752,1.0,swebench-verified,cwm-baseline,1,1,
140,cwm-baseline-10,10,sympy__sympy-21847,1.0,swebench-verified,cwm-baseline,1,1,
141,cwm-baseline-10,10,pytest-dev__pytest-10081,0.0,swebench-verified,cwm-baseline,0,1,
142,cwm-baseline-10,10,sympy__sympy-20154,0.0,swebench-verified,cwm-baseline,0,1,
143,cwm-baseline-10,10,django__django-15022,1.0,swebench-verified,cwm-baseline,1,1,
144,cwm-baseline-10,10,sphinx-doc__sphinx-7889,1.0,swebench-verified,cwm-baseline,1,1,
145,cwm-baseline-10,10,django__django-12741,1.0,swebench-verified,cwm-baseline,1,1,
146,cwm-baseline-10,10,sympy__sympy-14711,1.0,swebench-verified,cwm-baseline,1,1,
147,cwm-baseline-10,10,django__django-14373,1.0,swebench-verified,cwm-baseline,1,1,
148,cwm-baseline-10,10,django__django-16662,1.0,swebench-verified,cwm-baseline,1,1,
149,cwm-baseline-10,10,django__django-14053,0.0,swebench-verified,cwm-baseline,0,1,
150,cwm-baseline-10,10,django__django-15863,1.0,swebench-verified,cwm-baseline,1,1,
151,cwm-baseline-10,10,django__django-15741,0.0,swebench-verified,cwm-baseline,0,1,
152,cwm-baseline-10,10,scikit-learn__scikit-learn-13439,1.0,swebench-verified,cwm-baseline,1,1,
153,cwm-baseline-10,10,sympy__sympy-20590,0.0,swebench-verified,cwm-baseline,0,1,
154,cwm-baseline-10,10,sympy__sympy-13974,1.0,swebench-verified,cwm-baseline,1,1,
155,cwm-baseline-10,10,django__django-12193,1.0,swebench-verified,cwm-baseline,1,1,
156,cwm-baseline-10,10,sympy__sympy-19346,1.0,swebench-verified,cwm-baseline,1,1,
157,cwm-baseline-10,10,django__django-12774,0.0,swebench-verified,cwm-baseline,0,1,
158,cwm-baseline-10,10,pallets__flask-5014,1.0,swebench-verified,cwm-baseline,1,1,
159,cwm-baseline-10,10,sphinx-doc__sphinx-9602,0.0,swebench-verified,cwm-baseline,0,1,
160,cwm-baseline-10,10,astropy__astropy-13977,0.0,swebench-verified,cwm-baseline,0,1,
161,cwm-baseline-10,10,scikit-learn__scikit-learn-26194,0.0,swebench-verified,cwm-baseline,0,1,
162,cwm-baseline-10,10,sphinx-doc__sphinx-8459,0.0,swebench-verified,cwm-baseline,0,1,
163,cwm-baseline-10,10,django__django-13590,1.0,swebench-verified,cwm-baseline,1,1,
164,cwm-baseline-10,10,django__django-16255,1.0,swebench-verified,cwm-baseline,1,1,
165,cwm-baseline-10,10,django__django-11087,0.0,swebench-verified,cwm-baseline,0,1,
166,cwm-baseline-10,10,pydata__xarray-2905,1.0,swebench-verified,cwm-baseline,1,1,
167,cwm-baseline-10,10,sympy__sympy-24443,1.0,swebench-verified,cwm-baseline,1,1,
168,cwm-baseline-10,10,django__django-13964,0.0,swebench-verified,cwm-baseline,0,1,
169,cwm-baseline-10,10,sympy__sympy-24562,0.0,swebench-verified,cwm-baseline,0,1,
170,cwm-baseline-10,10,sympy__sympy-20916,0.0,swebench-verified,cwm-baseline,0,1,
171,cwm-baseline-10,10,pydata__xarray-3677,1.0,swebench-verified,cwm-baseline,1,1,
172,cwm-baseline-10,10,django__django-12039,0.0,swebench-verified,cwm-baseline,0,1,
173,cwm-baseline-10,10,sphinx-doc__sphinx-8638,0.0,swebench-verified,cwm-baseline,0,1,
174,cwm-baseline-10,10,django__django-11848,0.0,swebench-verified,cwm-baseline,0,1,
175,cwm-baseline-10,10,pydata__xarray-6461,0.0,swebench-verified,cwm-baseline,0,1,
176,cwm-baseline-10,10,sphinx-doc__sphinx-7590,0.0,swebench-verified,cwm-baseline,0,1,
177,cwm-baseline-10,10,django__django-11276,0.0,swebench-verified,cwm-baseline,0,1,
178,cwm-baseline-10,10,scikit-learn__scikit-learn-25232,1.0,swebench-verified,cwm-baseline,1,1,
179,cwm-baseline-10,10,django__django-13925,0.0,swebench-verified,cwm-baseline,0,1,
180,cwm-baseline-10,10,psf__requests-1921,0.0,swebench-verified,cwm-baseline,0,1,
181,cwm-baseline-10,10,sphinx-doc__sphinx-9367,1.0,swebench-verified,cwm-baseline,1,1,
182,cwm-baseline-10,10,django__django-13658,1.0,swebench-verified,cwm-baseline,1,1,
183,cwm-baseline-10,10,astropy__astropy-14309,1.0,swebench-verified,cwm-baseline,1,1,
184,cwm-baseline-10,10,django__django-11749,1.0,swebench-verified,cwm-baseline,1,1,
185,cwm-baseline-10,10,django__django-15467,1.0,swebench-verified,cwm-baseline,1,1,
186,cwm-baseline-10,10,django__django-13212,0.0,swebench-verified,cwm-baseline,0,1,
187,cwm-baseline-10,10,matplotlib__matplotlib-20676,1.0,swebench-verified,cwm-baseline,1,1,
188,cwm-baseline-10,10,django__django-12406,0.0,swebench-verified,cwm-baseline,0,1,
189,cwm-baseline-10,10,sphinx-doc__sphinx-9711,1.0,swebench-verified,cwm-baseline,1,1,
190,cwm-baseline-10,10,matplotlib__matplotlib-22865,1.0,swebench-verified,cwm-baseline,1,1,
191,cwm-baseline-10,10,django__django-11451,1.0,swebench-verified,cwm-baseline,1,1,
192,cwm-baseline-10,10,django__django-11490,0.0,swebench-verified,cwm-baseline,0,1,
193,cwm-baseline-10,10,django__django-17087,0.0,swebench-verified,cwm-baseline,0,1,
194,cwm-baseline-10,10,django__django-16819,1.0,swebench-verified,cwm-baseline,1,1,
195,cwm-baseline-10,10,sympy__sympy-17655,1.0,swebench-verified,cwm-baseline,1,1,
196,cwm-baseline-10,10,django__django-13346,0.0,swebench-verified,cwm-baseline,0,1,
197,cwm-baseline-10,10,django__django-13821,1.0,swebench-verified,cwm-baseline,1,1,
198,cwm-baseline-10,10,django__django-13794,0.0,swebench-verified,cwm-baseline,0,1,
199,cwm-baseline-10,10,django__django-11265,0.0,swebench-verified,cwm-baseline,0,1,
200,cwm-baseline-10,10,django__django-14017,1.0,swebench-verified,cwm-baseline,1,1,
201,cwm-baseline-10,10,sympy__sympy-13372,0.0,swebench-verified,cwm-baseline,0,1,
202,cwm-baseline-10,10,django__django-15277,1.0,swebench-verified,cwm-baseline,1,1,
203,cwm-baseline-10,10,django__django-13933,0.0,swebench-verified,cwm-baseline,0,1,
204,cwm-baseline-10,10,sympy__sympy-15809,1.0,swebench-verified,cwm-baseline,1,1,
205,cwm-baseline-10,10,sphinx-doc__sphinx-9658,0.0,swebench-verified,cwm-baseline,0,1,
206,cwm-baseline-10,10,scikit-learn__scikit-learn-14141,1.0,swebench-verified,cwm-baseline,1,1,
207,cwm-baseline-10,10,django__django-14493,1.0,swebench-verified,cwm-baseline,1,1,
208,cwm-baseline-10,10,django__django-11790,1.0,swebench-verified,cwm-baseline,1,1,
209,cwm-baseline-10,10,astropy__astropy-7166,1.0,swebench-verified,cwm-baseline,1,1,
210,cwm-baseline-10,10,mwaskom__seaborn-3187,0.0,swebench-verified,cwm-baseline,0,1,
211,cwm-baseline-10,10,scikit-learn__scikit-learn-13124,0.0,swebench-verified,cwm-baseline,0,1,
212,cwm-baseline-10,10,sympy__sympy-19040,0.0,swebench-verified,cwm-baseline,0,1,
213,cwm-baseline-10,10,django__django-11477,0.0,swebench-verified,cwm-baseline,0,1,
214,cwm-baseline-10,10,psf__requests-2317,0.0,swebench-verified,cwm-baseline,0,1,
215,cwm-baseline-10,10,django__django-12050,1.0,swebench-verified,cwm-baseline,1,1,
216,cwm-baseline-10,10,scikit-learn__scikit-learn-13328,1.0,swebench-verified,cwm-baseline,1,1,
217,cwm-baseline-10,10,pylint-dev__pylint-6903,1.0,swebench-verified,cwm-baseline,1,1,
218,cwm-baseline-10,10,pylint-dev__pylint-4970,0.0,swebench-verified,cwm-baseline,0,1,
219,cwm-baseline-10,10,sphinx-doc__sphinx-9698,0.0,swebench-verified,cwm-baseline,0,1,
220,cwm-baseline-10,10,django__django-13837,0.0,swebench-verified,cwm-baseline,0,1,
221,cwm-baseline-10,10,matplotlib__matplotlib-25332,0.0,swebench-verified,cwm-baseline,0,1,
222,cwm-baseline-10,10,django__django-11815,0.0,swebench-verified,cwm-baseline,0,1,
223,cwm-baseline-10,10,django__django-13343,0.0,swebench-verified,cwm-baseline,0,1,
224,cwm-baseline-10,10,django__django-14765,1.0,swebench-verified,cwm-baseline,1,1,
225,cwm-baseline-10,10,sphinx-doc__sphinx-8621,0.0,swebench-verified,cwm-baseline,0,1,
226,cwm-baseline-10,10,sphinx-doc__sphinx-7985,0.0,swebench-verified,cwm-baseline,0,1,
227,cwm-baseline-10,10,astropy__astropy-14598,0.0,swebench-verified,cwm-baseline,0,1,
228,cwm-baseline-10,10,pytest-dev__pytest-6197,0.0,swebench-verified,cwm-baseline,0,1,
229,cwm-baseline-10,10,astropy__astropy-8707,0.0,swebench-verified,cwm-baseline,0,1,
230,cwm-baseline-10,10,django__django-15104,1.0,swebench-verified,cwm-baseline,1,1,
231,cwm-baseline-10,10,matplotlib__matplotlib-13989,1.0,swebench-verified,cwm-baseline,1,1,
232,cwm-baseline-10,10,scikit-learn__scikit-learn-13135,1.0,swebench-verified,cwm-baseline,1,1,
233,cwm-baseline-10,10,django__django-15916,0.0,swebench-verified,cwm-baseline,0,1,
234,cwm-baseline-10,10,django__django-15368,1.0,swebench-verified,cwm-baseline,1,1,
235,cwm-baseline-10,10,django__django-13012,1.0,swebench-verified,cwm-baseline,1,1,
236,cwm-baseline-10,10,scikit-learn__scikit-learn-26323,1.0,swebench-verified,cwm-baseline,1,1,
237,cwm-baseline-10,10,psf__requests-2931,0.0,swebench-verified,cwm-baseline,0,1,
238,cwm-baseline-10,10,django__django-11885,0.0,swebench-verified,cwm-baseline,0,1,
239,cwm-baseline-10,10,sphinx-doc__sphinx-9258,0.0,swebench-verified,cwm-baseline,0,1,
240,cwm-baseline-10,10,django__django-11333,0.0,swebench-verified,cwm-baseline,0,1,
241,cwm-baseline-10,10,scikit-learn__scikit-learn-14053,1.0,swebench-verified,cwm-baseline,1,1,
242,cwm-baseline-10,10,django__django-13195,0.0,swebench-verified,cwm-baseline,0,1,
243,cwm-baseline-10,10,sympy__sympy-23262,0.0,swebench-verified,cwm-baseline,0,1,
244,cwm-baseline-10,10,django__django-15930,0.0,swebench-verified,cwm-baseline,0,1,
245,cwm-baseline-10,10,sympy__sympy-23950,0.0,swebench-verified,cwm-baseline,0,1,
246,cwm-baseline-10,10,sympy__sympy-13091,0.0,swebench-verified,cwm-baseline,0,1,
247,cwm-baseline-10,10,matplotlib__matplotlib-20859,1.0,swebench-verified,cwm-baseline,1,1,
248,cwm-baseline-10,10,sympy__sympy-17139,1.0,swebench-verified,cwm-baseline,1,1,
249,cwm-baseline-10,10,matplotlib__matplotlib-26113,1.0,swebench-verified,cwm-baseline,1,1,
250,cwm-baseline-10,10,sphinx-doc__sphinx-8269,1.0,swebench-verified,cwm-baseline,1,1,
251,cwm-baseline-10,10,django__django-13670,1.0,swebench-verified,cwm-baseline,1,1,
252,cwm-baseline-10,10,django__django-13809,1.0,swebench-verified,cwm-baseline,1,1,
253,cwm-baseline-10,10,astropy__astropy-14995,1.0,swebench-verified,cwm-baseline,1,1,
254,cwm-baseline-10,10,django__django-12276,0.0,swebench-verified,cwm-baseline,0,1,
255,cwm-baseline-10,10,django__django-16454,0.0,swebench-verified,cwm-baseline,0,1,
256,cwm-baseline-10,10,django__django-10914,1.0,swebench-verified,cwm-baseline,1,1,
257,cwm-baseline-10,10,pydata__xarray-7233,1.0,swebench-verified,cwm-baseline,1,1,
258,cwm-baseline-10,10,sympy__sympy-15875,1.0,swebench-verified,cwm-baseline,1,1,
259,cwm-baseline-10,10,django__django-13512,1.0,swebench-verified,cwm-baseline,1,1,
260,cwm-baseline-10,10,sphinx-doc__sphinx-11445,0.0,swebench-verified,cwm-baseline,0,1,
261,cwm-baseline-10,10,sympy__sympy-16450,1.0,swebench-verified,cwm-baseline,1,1,
262,cwm-baseline-10,10,django__django-10880,1.0,swebench-verified,cwm-baseline,1,1,
263,cwm-baseline-10,10,sympy__sympy-12489,0.0,swebench-verified,cwm-baseline,0,1,
264,cwm-baseline-10,10,pytest-dev__pytest-7490,0.0,swebench-verified,cwm-baseline,0,1,
265,cwm-baseline-10,10,django__django-14140,0.0,swebench-verified,cwm-baseline,0,1,
266,cwm-baseline-10,10,django__django-15127,0.0,swebench-verified,cwm-baseline,0,1,
267,cwm-baseline-10,10,django__django-16136,1.0,swebench-verified,cwm-baseline,1,1,
268,cwm-baseline-10,10,psf__requests-1724,0.0,swebench-verified,cwm-baseline,0,1,
269,cwm-baseline-10,10,django__django-14404,0.0,swebench-verified,cwm-baseline,0,1,
270,cwm-baseline-10,10,django__django-13158,0.0,swebench-verified,cwm-baseline,0,1,
271,cwm-baseline-10,10,django__django-10554,0.0,swebench-verified,cwm-baseline,0,1,
272,cwm-baseline-10,10,sympy__sympy-18211,0.0,swebench-verified,cwm-baseline,0,1,
273,cwm-baseline-10,10,pylint-dev__pylint-7080,0.0,swebench-verified,cwm-baseline,0,1,
274,cwm-baseline-10,10,sphinx-doc__sphinx-9281,0.0,swebench-verified,cwm-baseline,0,1,
275,cwm-baseline-10,10,matplotlib__matplotlib-24026,0.0,swebench-verified,cwm-baseline,0,1,
276,cwm-baseline-10,10,django__django-12663,0.0,swebench-verified,cwm-baseline,0,1,
277,cwm-baseline-10,10,django__django-11292,1.0,swebench-verified,cwm-baseline,1,1,
278,cwm-baseline-10,10,django__django-12273,0.0,swebench-verified,cwm-baseline,0,1,
279,cwm-baseline-10,10,django__django-13279,0.0,swebench-verified,cwm-baseline,0,1,
280,cwm-baseline-10,10,sphinx-doc__sphinx-8595,0.0,swebench-verified,cwm-baseline,0,1,
281,cwm-baseline-10,10,django__django-12858,0.0,swebench-verified,cwm-baseline,0,1,
282,cwm-baseline-10,10,django__django-12209,0.0,swebench-verified,cwm-baseline,0,1,
283,cwm-baseline-10,10,pytest-dev__pytest-7521,1.0,swebench-verified,cwm-baseline,1,1,
284,cwm-baseline-10,10,matplotlib__matplotlib-24637,1.0,swebench-verified,cwm-baseline,1,1,
285,cwm-baseline-10,10,django__django-13028,0.0,swebench-verified,cwm-baseline,0,1,
286,cwm-baseline-10,10,scikit-learn__scikit-learn-14496,1.0,swebench-verified,cwm-baseline,1,1,
